id,verb,verb_compound,verb_feats,verb_is_aux,verb_deprel,sup_verb,sup_verb_feats,sup_verb_deprel,sentence,sentence_id
6257,pääsema,,"af,ps,sg,aux,ps2,impf,indic",0,conj,jätkama,"ps,ill,sup,main",xcomp,"Austrias Linzis peetaval sõudmise MK-etapil said Jüri Jaanson ja Tõnu Endrekson eelsõidust otse poolfinaali , teised Eesti esindajad ___pääsesid___ võistlust ___jätkama___ lohutussõitude abiga .",2863888
6266,sattuma,,"af,ps,sg,ps1,impf,main,indic",0,root,magama,"ps,ill,mod,sup",xcomp,"Ühel ööl ___sattusin___ ___magama___ hotelli , mille omanikuks oli just saanud habemik , aga personaliks olid veel taid .",2864198
6269,sattuma,,"ps,mod,past,partic",0,acl,teenindama,"ps,aux,ill,sup",xcomp,"Ses mõttes , et restoran on aus ja uhke , aga õnnetuseks ei jaganud komandot ___teenindama___ ___sattunud___ ettekandja üldse , mida ta peaks tegema .",2864332
6271,saama,,"ps,aux,neg,impf,indic",1,root,hakkama,"ps,ill,mod,sup",xcomp,"Nad on ___saanud___ ___hakkama___ ja leidnud piisava arvu ( 16 ) opositsioonilisi lolle , et Riigikogu erakorralise istungi tarbeks avaldus teha .",2987692
6284,saama,,"inf,main",0,conj,hakkama,"ps,ill,sup,main",xcomp,Männama idee oli pakkuda ka teistele nägemispuudelistele noortele võimalust teha vabatahtlikku tööd ja elada suvisel ajal kodust eemal ning ise ___hakkama___ ___saada___ - planeerida oma tegevusi ning seeläbi suurendada oma iseseisvust ja igapäevaeluoskusi .,2988336
6285,pidama,,"ps,mod,past,partic",0,acl,toimuma,"ps,ill,sup,main",xcomp,"Eelmüük tänavu üheksandat korda ___toimuma___ ___pidanud___ Kuressaare ooperipäevadele algas kohe pärast eelmist festivali , ostjad olid ennekõike rajatagused ooperisõbrad , kellest paljud planeerivad festivalile sõitu juba pikka aega ette , kirjutab Oma Saar .",2988426
6287,kippuma,,"af,ps,sg,aux,ps3,pres,indic",0,advcl,surema,"ps,ill,mod,sup",xcomp,"Klubi suviste tulude arvelt tuleb Aasavi jutu järgi poputada hoopiski talvehooaega , kui elu Pärnus välja ___surema___ ___kipub___ .",2988482
6290,soostuma,,"ps,aux,past,partic",1,root,kommenteerima,"ps,ill,sup,main",xcomp,"Eesti Posti nõukogu esimees reformierakondlane Meelis Atonen ei ___soostunud___ eile personalimuudatusi veel ___kommenteerima___ , kuid ta tunnistas , et muutusi on tulemas .",2988591
6321,kippuma,,"af,ps,sg,mod,ps3,pres,indic",0,root,jääma,"ps,aux,ill,sup",xcomp,Eramajade jaoks ___kipub___ see piirkond liiga väikseks ___jääma___ ning oleks liiga aktiivne tsoon .,2991423
6322,arvama,,"ps,aux,neg,pres,indic",1,root,tulema,"ps,ill,mod,sup",ccomp,"Ma ei ___arva___ , et sellisesse kohta peaks ___tulema___ näiteks park , sest linnakodanikule ei muutu midagi halvemaks , kui see piirkond areneb .",2991425
6337,mahtuma,,"ps,mod,neg,pres,indic",1,parataxis,minema,"ps,aux,ill,sup",conj,"Siseministeeriumi asekantsler Kalev Timberg kinnitas , et reeglina jääb töötajate palk samale tasemele , väikese erandiga juhtide osas : "" Kõik juhid ilmselt ei ___mahu___ marjamaale , mõned peavad ___minema___ madalamale kohale . """,2992072
6341,kippuma,,"af,ps,sg,aux,ps2,pres,imper",1,root,tegema,"ps,ill,mod,sup",xcomp,""" Ega noored midagi halba ___tegema___ ei ___kipu___ , võib-olla natuke lärmavad . """,2992154
6347,saama,,"af,pl,ps,ps1,impf,main,indic",0,conj,hakkama,"ps,aux,ill,sup",xcomp,""" Unicaja kõik pallurid on nii individuaalselt kui ka võistkondlikult väga ohtlikud , aga ___saime___ kaitses ___hakkama___ . """,2992553
6359,saama,,"af,ps,sg,mod,ps2,pres,imper",1,root,hakkama,"ps,ill,mod,sup",xcomp,"Eriti noored 25-26-aastased mehed , kes tulevad otse ülikoolist , õppelaenud kaelas , ei ___saa___ ___hakkama___ 4000 krooniga .",2993035
6378,mahtuma,,"af,ps,sg,aux,ps3,pres,indic",0,advcl,seisma,"ps,aux,ill,sup",xcomp,"Populaarsed pubid on õhtuti nii rahvast täis , et ___mahub___ vaid ühe jala peal ___seisma___ .",2993828
6398,kippuma,,"af,pl,ps,ps3,main,pres,indic",0,acl:relcl,minema,"ps,ill,mod,sup",xcomp,"Nendest asjadest , mis raha ja võimu trummipõrinat täis maailmas ___kipuvad___ meelest ___minema___ - aust ja inimlikkusest .",3111030
6402,jõudma,,"af,pl,ps,ps2,main,pres,indic",0,ccomp,käima,"ps,aux,ill,sup",xcomp,"Ain Anger , uus aasta saabus teile Estonia teatri ballil koos Marko Matvere ja Juhan Trallaga kuulsaid operetimeloodiaid esitades , kas te koju Saaremaale ka ___käima___ ___jõuate___ ?",3111060
6405,pidama,,"ps,neg,impf,main,indic",1,root,nõutama,"ps,aux,ill,sup",xcomp,"Miks ei ___pidanud___ siis minagi hardal nääriööl , maalla maan tavalla , telepurgist peorõõmu ___nõutama___ .",3111125
6417,nõustuma,,"ps,aux,past,partic",1,root,avaldama,"ps,ill,sup,main",xcomp,"Presidendi kantselei ei ___nõustunud___ eile Rüütli visiidi täpset kava ___avaldama___ , sest see olevat esialgu veel lahtine .",3111461
6435,arvama,,"af,ps,sg,ps1,main,pres,indic",0,root,kaasajastuma,"ps,ill,mod,sup",ccomp,"Ma ___arvan___ , et need ideoloogiad peavad ___kaasajastuma___ .",3111813
6461,arvama,,"af,ps,sg,mod,ps1,pres,indic",0,root,otsima,"ps,aux,ill,sup",ccomp,"Ja ma ___arvan___ , et seda anonüümset allikat ei pea te ___otsima___ Keskerakonnast , vaid oma toimetuse seest .",3112026
6467,saama,,"af,ps,sg,mod,ps3,pres,indic",0,ccomp,hakkama,"ps,ill,sup,main",xcomp,"Viimased avaliku arvamuse küsitlused näitavad , et 76% tallinlastest leiab , et linnapea ___saab___ oma asjadega hästi või väga hästi ___hakkama___ .",3112117
6477,õppima,,"af,pl,ps,aux,ps1,cond,pres",0,advcl,kasutama,"ps,ill,sup,main",xcomp,"Raamatu moto oli umbes selline , et "" kui ___õpiksime___ koolis matemaatikat sama oskuslikult ___kasutama___ nagu emakeelt , siis näeksime maailma hoopis lihtsamana "" .",3112209
6478,sobima,,"ps,aux,neg,cond,pres",0,root,alustama,"ps,aux,ill,sup",xcomp,Igaüks neist ___sobiks___ ___alustama___ surematut romaani !,3112219
6479,harjuma,,"aux,neg,impf,imps,indic",1,acl:relcl,töötama,"ps,ill,mod,sup",xcomp,"Mõnikord juhtub nii , et vanad mallid ja raamid , milles on ___harjutud___ ___töötama___ , jäävad ühtäkki kitsaks .",3112223
6485,saama,,"inf,main",1,root,maksma,"ps,ill,sup,main",conj,"Ometi võis kanadalaste pahameelest aru ___saada___ : miks peaksid nemad , kõrge maksukoormaga riigi tavainimesed , niigi kõrget palka saavad hokistaarid kinni ___maksma___ ?",3112300
6534,harjuma,,"neg,impf,imps,main,indic",1,acl,tähistama,"ps,ill,mod,sup",xcomp,"Nii saaks väljakust , kus on ___harjutud___ ___tähistama___ 9. maid paik , kus on tõesti põhjust pidada 9. maid , aga juba kaasaegses tähenduses - Euroopa päevana .",3130751
6540,nõustuma,,"af,ps,sg,aux,ps1,pres,indic",0,conj,loobuma,"ps,ill,mod,sup",xcomp,"Ma olen nõus diskuteerima venelastega Teise maailmasõja tähenduse üle , ma olen valmis aktsepteerima nende tundeid oma Suure Isamaasõja vastu , ma ___nõustun___ ___loobuma___ nende vabastamisjutu peale iga kord meenutamast , et see vabastamine kasvas üle okupatsiooniks .",3130867
6543,jõudma,,"ps,neg,impf,main,indic",1,root,tõdema,"ps,ill,sup,main",parataxis,""" Nii et Valgevene tegelikkus on ___jõudnud___ ka meie piiri taha , "" pidin jahmatusega ___tõdema___ .",3130900
6568,õppima,,"ps,ill,mod,sup",1,root,kuulama,"ps,ill,mod,sup",xcomp,""" Peame ___õppima___ üksteist ___kuulama___ ja teiste seisukohtadega arvestama . """,3132298
6574,pääsema,,"af,ps,sg,mod,ps3,pres,indic",0,conj,liikuma,"ps,aux,ill,sup",xcomp,"Ta lisas , et selline olukord kestab kindlasti mai lõpuni , kuni kool saab läbi ja ___pääseb___ natuke vabamalt ___liikuma___ .",3132659
6578,tegema,,"af,ps,sg,mod,ps3,impf,indic",0,root,kulgema,"ps,aux,ill,sup",conj,"Vene-Saksa merealuse gaasitrassi rajamisega tegelev firma Nord Stream ___tegi___ Eestile ettepaneku viia gaasijuhe läbi Eesti majandusvete , varasema plaani järgi pidi see ___kulgema___ Soome vetes .",3132691
6579,saama,,"ps,aux,neg,cond,pres",0,conj,hakkama,"ps,ill,mod,sup",xcomp,"Rakvere Lihakombinaadi juhatuse esimehe Olle Hormi sõnul kaotaks ettevõte Venemaa sanktsioonide tõttu umbes miljon krooni kuus , kuid ___saaks___ siiski ___hakkama___ .",3132713
6581,saama,,"af,pl,ps,ps1,main,pres,indic",0,conj,hakkama,"ps,aux,ill,sup",xcomp,"Iga kroon on ettevõttele tähtis , kuid suvi tuleb , me ___saame___ ___hakkama___ , "" selgitas ta .",3132720
6596,õppima,,"af,ps,sg,mod,ps3,impf,indic",0,advcl,lugema,"ps,ill,mod,sup",xcomp,"Marie von Ebner-Eschenbach on öelnud , et "" kui naine ___õppis___ ___lugema___ , sündis naisküsimus "" .",3133839
6600,saama,,"af,ps,sg,aux,ps1,pres,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,"Tavaliselt ___saan___ ma Tarbatu lihtrahva toitlustamisel ___hakkama___ palju väiksema majanduskuluga , sest tuttaval Obupea lihunikul on alati midagi tapakoja nurgas vedelemas , mille kallal saab kokakunsti rakendada .",3134161
6610,pääsema,,"ps,neg,impf,main,indic",1,conj,segama,"ps,ill,mod,sup",xcomp,""" Magama jäi ta seekord jaanuari keskpaiku uude aedikuossa müüri äärde , kust külastajad teda üles ei leidnud ning ___segama___ ei ___pääsenud___ . """,3179548
6616,saama,,"af,ps,sg,aux,ps3,impf,indic",0,root,loobuma,"ps,ill,sup,main",conj,"Simeon Saxe-Coburg ___sai___ Bulgaaria kuningaks 1943. aastal , kuid pidi pärast kommunistlikku riigipööret 1946. aastal oma troonist ___loobuma___ ning välismaale eksiili põgenema .",3179682
6625,juhtuma,,"af,pl,ps,aux,ps3,impf,indic",0,conj,nägema,"ps,ill,mod,sup",xcomp,"Politsei palub kõigil , kellel on informatsiooni antud juhtumi kohta või ___juhtusid___ seda pealt ___nägema___ , helistada Põhja prefektuuri telefonidel 612 42 33 , 55 697 507 või politsei üldnumbril 110.",3179786
6675,saama,,"af,pl,ps,mod,ps1,pres,indic",0,parataxis,hakkama,"ps,ill,sup,main",xcomp,"Mõni aasta tagasi kasutas meie omamaine sari "" Me ___saame___ ___hakkama___ ! "" publiku ligimeelitamiseks sarnast nippi ning episoodiline roll anti inimesele , kel oli seafarm , kuhu sarja näitlejad pandi askeldama .",3302653
6695,saama,,"af,ps,sg,ps3,impf,main,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,"Rovaniemis peetud turniiril ___sai___ ta kenasti ___hakkama___ , "" märkis Rautio .",3302974
6700,kippuma,,"af,ps,sg,mod,ps3,impf,indic",0,conj,värisema,"ps,aux,ill,sup",xcomp,Sageli otsustavas mängustaadiumis sees keeras ja käsi ___kippus___ ___värisema___ .,3303116
6712,üritama,,"af,ps,sg,ps3,impf,main,indic",0,root,uppuma,"ps,ill,mod,sup",xcomp,"Ema ___üritas___ küll ___uppuma___ hakkavat poega päästa , kuid ebaõnnestunult .",3303338
6729,nõustuma,,"af,ps,sg,aux,ps2,impf,indic",0,advcl,võtma,"ps,aux,ill,sup",xcomp,"Audiitorid tuvastasid 4,9 miljoni dollari kadumise , kuigi laboratooriumi enda töötajad ___nõustusid___ omaks ___võtma___ vaid 195 246 dollarilise puudujäägi .",3303878
6735,harjuma,,"ps,aux,past,partic",1,root,vahetama,"ps,ill,mod,sup",xcomp,Inimesed on kasu saamise nimel ___harjunud___ ___vahetama___ mobiilioperaatorit ja panka - ning ka suhtumises parteidesse ilmneb sama mentaliteet .,3304090
6756,arvama,,"af,ps,sg,aux,ps1,pres,indic",0,root,hakkama,"ps,aux,ill,sup",ccomp,""" ___Arvan___ , et Eesti väikesed filmifirmakesed peaksid ___hakkama___ ühinema . """,3317965
6766,tahtma,,"ps,aux,neg,impf,indic",1,root,kasutama,"ps,aux,ill,sup",conj,"Ma ei ___tahtnud___ midagi ei teatri ega produktsioonifirma vastu teha , aga nõudsin oma õigusi ja pidin selleks lõpuks ametlikke kanaleid ___kasutama___ .",3318366
6782,saama,,"af,pl,ps,mod,ps3,impf,indic",0,ccomp,minema,"ps,ill,mod,sup",conj,"Hiiekaitsjad aga väitsid Toometi sõnul , et nemad ___said___ planeeringust hiljem teada ning seetõttu peaks ___minema___ arvesse ka nende 29. oktoobril esitatud vaie .",3318970
6785,soostuma,,"ps,mod,past,partic",1,root,avaldama,"ps,ill,sup,main",xcomp,"ASi Kodu Grupp juhatuse liige Margus Haud ei ___soostunud___ siiski veel ___avaldama___ , kellega on lepingud sõlmitud .",3319134
6792,jõudma,,"ps,neg,cond,main,pres",0,advcl,käituma,"ps,aux,ill,sup",advcl,"Siis ikka on vaja väikest ehmatust , et ___jõuaks___ pärale , et nüüd peab teistmoodi ___käituma___ .",3319326
6805,nõustuma,,"af,ps,sg,aux,ps3,pres,indic",0,acl,hüvitama,"ps,aux,ill,sup",xcomp,"Aleksei väitel sunniti teda peksuga kirjutama alla kirjale , kus ta ___nõustub___ ___hüvitama___ peegli lõhkumisega tekitatud kahju .",3319637
6816,saama,,"af,ps,sg,mod,ps3,impf,indic",0,root,hakkama,"ps,ill,mod,sup",xcomp,"Ometi ___sai___ allameetrimees ___hakkama___ ka kolm korda pisema ajuga , kui oli võtta teistel inimeseliikidel .",3319887
6817,saama,,"af,ps,sg,ps3,impf,main,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Ka kaks korda pisema keha ja kolm korda pisema ajuga ___sai___ inimene miljon aastat ___hakkama___ .,3319929
6830,tegema,,"ps,ill,mod,sup",1,parataxis,hankima,"ps,aux,ill,sup",parataxis,"Soome parlamendisaadik ja Tulevikukonvendi liige Kimmo Kiljunen aga arutleb nii : kui lepingut jääb vastustama väike liikmesriik , siis peab see ise oma järeldused ___tegema___ - näiteks ___hankima___ endale mingit sorti assotsieerunud liikme staatuse , vaatleja staatuse või äärmisel juhul : lahkuma Euroopa Liidust .",3320291
6832,nõustuma,,"ps,main,past,partic",1,root,sillutama,"ps,ill,sup,main",xcomp,Nüüd on valitsev koalitsioon ___nõustunud___ ___sillutama___ teed rahvahääletuse korraldamisele ka Saksamaal .,3320303
6833,kalduma,,"af,ps,sg,mod,ps3,pres,indic",0,root,liialdama,"ps,ill,mod,sup",xcomp,"Kivirähk ___kaldub___ metafoorselt ___liialdama___ ( "" mõni meie ujuja , kes hüppas vette ning pääses õnnelikult tagasi kaldale "" , "" võiks sportlane pissida potti , milles peituv keemiline aine patuse uriiniga kokku puutudes plahvatab "" , lk 164 - 165 ) , emotsionaalselt nahkses keeles Siimann oma hiljem täiendatud päevikus tagantjärgi targutama ja läbikukkujaid inimlikult kaitsma .",3320530
6835,kalduma,,"af,ps,sg,aux,ps3,pres,indic",0,root,jäädvustama,"ps,ill,mod,sup",xcomp,"Ametlik kaader seevastu ___kaldub___ ___jäädvustama___ asju nii , nagu need pandi olema .",3320614
6837,juhtuma,,"af,ps,sg,mod,ps3,pres,indic",0,advcl,olema,"ps,aux,ill,sup",xcomp,"Ning ei tule neile kahjuks isegi see , kui mõni ___juhtub___ ___olema___ udune , prügine või pahasti valgustatud .",3320617
6838,saama,,"af,ps,sg,mod,ps3,pres,indic",0,conj,hakkama,"ps,ill,mod,sup",xcomp,"Neid peabki juurde tulema , sest uut iseseisvustki on juba olnud mituteist aastat ja kuidas ilma uute ajalooõpikuteta ___hakkama___ ___saab___ .",3320748
6873,saama,,"inf,main",0,acl,hakkama,"ps,ill,sup,main",xcomp,""" Helle Aunapil on realistlik ettekujutus selle kohta , kuidas sealsetes tingimustes ___hakkama___ ___saada___ , "" ütles Muru .",3331368
6874,saama,,"ps,ill,sup,main",1,root,hakkama,"ps,ill,mod,sup",xcomp,"Hooldusperedes , nagu Kaie ja Reinu oma , peavad vanemad kõigega ise ___hakkama___ ___saama___ .",3331431
6884,nõustuma,,"af,ps,sg,mod,ps3,impf,indic",0,conj,toetama,"ps,ill,mod,sup",xcomp,"Kapitaalremont maksnuks 26 miljonit krooni , kuid linn ___nõustus___ seda 18 miljoni krooniga ___toetama___ tingimusel , et lastehaigla ise ülejäänud raha juurde leiab .",3331631
6900,kippuma,,"af,pl,ps,mod,ps1,pres,indic",0,root,eirama,"ps,aux,ill,sup",xcomp,"Kusjuures me ___kipume___ sageli ___eirama___ seda , et meie geograafilistel naabritel on läinud üldjoontes niisamuti kui meil .",3331916
6914,saama,,"af,ps,sg,aux,ps3,pres,indic",0,ccomp,hakkama,"ps,aux,ill,sup",xcomp,""" On ju öeldud , et eestlane ___saab___ igal pool ___hakkama___ .",3332198
6922,saama,,"af,ps,sg,ps1,impf,main,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Vaskysega ___sain___ täna normaalselt ___hakkama___ .,3357630
6924,saama,,"aux,inf",0,csubj:cop,käima,"ps,ill,sup,main",xcomp,"Klandorf lisas , et üleeile krobelist Nybiti mängu nähes mõtles ta samuti - Rockil pole kerge mängu kohe ___käima___ ___saada___ .",3357635
6931,saama,,"inf,main",0,csubj:cop,õppima,"ps,aux,ill,sup",xcomp,"TTÜ vastse rahvusvahelise ärijuhtimise magistrandi , Lõuna-Indiast Hyderabadi lähedalt pärit Kota Ramesh Rabu ( 24 ) sõnul on Eestisse palju keerulisem ___õppima___ ___saada___ kui Ameerikasse või Inglismaale .",3357764
6933,tegema,,"aux,inf",0,csubj,õppima,"ps,aux,ill,sup",xcomp,""" Kindlasti tuleb ausate inimeste Eestisse ___õppima___ tulek ___teha___ võimalikult lihtsaks , aga samas säilitada kontroll nende üle , kes tulevad siia muudel eesmärkidel , "" ütleb KMA pressiesindaja Heikki Kirotar .",3357796
6941,tegema,,"af,ps,sg,aux,ps3,impf,indic",0,root,vaatama,"ps,ill,mod,sup",conj,"Möödunud sügisel ___tegi___ riik kütusevaru hoidmise kohustuseks suurematele maaletoojatele , juba tänavu 1. mail peab aga süsteemi taas üle ___vaatama___ , sest euroliidu nõude järgi peab kütust hoidma ikkagi riik .",3357869
6944,nõustuma,,"af,ps,sg,mod,ps3,impf,indic",0,advcl,osalema,"ps,ill,mod,sup",xcomp,"Eile Narva linnakohtus kuuks ajaks vahi alla võetud riigi julgeolekuvilja riisuja Vladimir Semjonov on ilmselt oma saatusega leppinud , sest ___nõustus___ sanktsiooni pikendamisel ___osalema___ advokaadi juuresolekuta .",3357877
6945,nõustuma,,"af,ps,sg,ps3,main,pres,indic",0,ccomp,osalema,"ps,aux,ill,sup",xcomp,""" Ta kirjutas alla paberile , et ___nõustub___ asja arutamisel ___osalema___ ilma minu juuresolekuta , "" ütles eile Semjonovi advokaat , muude tööasjadega hõivatud olnud Mart Missik .",3357878
6983,sattuma,,"af,ps,sg,mod,ps2,impf,indic",0,conj,vahetama,"ps,ill,sup,main",xcomp,"Tutvunud Eesti-Ladina-Ameerika Seltsi rajamisel , jäid nad omavahel suhtlema ning ___sattusid___ ajakirjanduses teravaid mõtteid ja eriarvamusi ___vahetama___ .",3358332
6988,saama,,"ps,mod,neg,pres,indic",1,ccomp,hakkama,"ps,ill,mod,sup",xcomp,"Talle tundub , et surra suudavad vaid ülimad , et ta ei ___saa___ suremisega ___hakkama___ .",3358427
6992,sattuma,,"af,ps,sg,aux,ps3,impf,indic",0,root,lehitsema,"ps,ill,sup,main",xcomp,"Nimelt ___sattus___ liiklusmiilits ( tegelikult keeldusid autoinspektsiooni töötajad end miilitsaks nimetamast ) ___lehitsema___ Ameerika päritolu ajakirja , kust selgus , et Californias rakendati roolijoodikute autode tähistamiseks punaseid numbreid .",3358536
7000,sättima,,"af,ps,sg,ps3,main,pres,indic",0,conj,istuma,"ps,aux,ill,sup",xcomp,Ivo ostab Maadamile joogi ja ___sätib___ end tema kõrvale ___istuma___ .,3358753
7004,kippuma,,"af,pl,ps,aux,ps3,pres,indic",0,acl,minema,"ps,ill,mod,sup",xcomp,"Asi selles , et need ___kipuvad___ armukadedaks ___minema___ , mis võib päädida kaklusega .",3358807
7008,kippuma,,"af,ps,sg,mod,ps2,impf,indic",0,root,pingestuma,"ps,aux,ill,sup",xcomp,Võtteperioodi jooksul ___kippusid___ filmi peategelaste ja võttegrupi suhted ___pingestuma___ .,3358931
7023,nõustuma,,"af,pl,ps,ps3,impf,main,indic",0,conj,maksma,"ps,ill,sup,main",xcomp,"Piiritalo selgitas , et revisjonid jäeti ära ka näiteks seetõttu , et maksumaksjad parandasid deklaratsioone 5,7 mln krooni ulatuses ja ___nõustusid___ tasumata maksusummad koos intressidega ise ära ___maksma___ .",3375320
7025,kippuma,,"af,pl,ps,mod,ps3,impf,indic",0,acl,minema,"ps,ill,sup,main",xcomp,"Kuna kalameeste põhiline mure oli see , et pikad nöörid ___kippusid___ segamini ___minema___ , sündiski Käeri mõttetööna puidust kast nende mugavaks hoidmiseks .",3375363
7041,kippuma,,"af,ps,sg,mod,ps2,impf,indic",0,conj,rabama,"ps,ill,sup,main",xcomp,"Tallinna Tammsaare tee ja Pärnu mnt Chopstickside juhataja Monika Thakur ütles , et algul olid pulgad küll tasuta , kuid inimesed ___kippusid___ neid kümnete kaupa kaasa ___rabama___ .",3375599
7056,soostuma,,"ps,neg,impf,main,indic",1,conj,kommenteerima,"ps,ill,mod,sup",xcomp,"Kultuuriministeeriumi kantsler Siim Sukles ütles , et konkursile laekus kuus avaldust , kuid ei ___soostunud___ neid lähemalt ___kommenteerima___ .",3375900
7059,kippuma,,"af,ps,sg,aux,ps2,impf,indic",0,ccomp,värvima,"ps,ill,mod,sup",xcomp,"Lugedes välismaisest pressist infot ameerika dokumentalisti Michael Moore'i uue filmi "" Fahrenheit 9 / 11 "" kohta , torkas silma , kuidas kirjutajad dokumentalisti ___värvima___ ___kippusid___ .",3375973
7071,saama,,"ps,sg,mod,neg,ps2,pres,imper",1,parataxis,üritama,"ps,ill,sup,main",conj,"See on nagu üleminek kapitalismilt sotsialismile : vanaviisi enam ei ___saa___ , uutmoodi ei oska , aga ___üritama___ peab .",3376130
7076,harjuma,,"ps,aux,past,partic",1,acl,tarvitama,"ps,aux,ill,sup",xcomp,"Soininvaara sõnul toovad soomlased praegugi Eestist kaasa nii palju kanget alkoholi , kui vähegi kanda jaksavad , eriti peredes , kus ollakse ___harjunud___ alkoholi just viina kujul ___tarvitama___ .",3376208
7078,pääsema,,"ps,aux,past,partic",1,root,tegema,"ps,ill,mod,sup",xcomp,"PÄRNU , 11. mai ( EPLO ) - Maamõõtjad pole siiani ___pääsenud___ Maseko kalatööstuse maa-alale Pärnu jõe äärde oma tööd ___tegema___ , Pärnu linn võib kalatööstuse vastu algatada kohtuasja , teatas Raadio Pärnu .",3376213
7086,kohustuma,,"af,ps,sg,ps3,main,pres,indic",0,acl:relcl,tagama,"ps,ill,mod,sup",xcomp,""" Selleks eraldab ministeerium Saaremaa Laevakompaniile lisatoetusena kaks miljonit krooni , mille eest ___kohustub___ SLK ___tagama___ kõigi soovijate üleveo .",3376264
7089,saama,,"af,ps,sg,ps2,impf,main,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,""" Viimasel korral ___said___ Eesti esindajad ju hästi ___hakkama___ , "" ütles Alaküla .",3376318
7090,tegema,,"ps,ill,sup,main",1,root,otsustama,"ps,ill,sup,main",conj,""" Siit peab linnapea ___tegema___ järelduse ja ___otsustama___ , kas avalike suhete teenistus sellisel kujul ja sellises koosseisus ikka vastab linna ootustele , "" lausus Maripuu .",3376322
7097,kippuma,,"af,ps,sg,aux,ps3,pres,indic",0,root,ajama,"ps,aux,ill,sup",xcomp,"RAKVERE , 11. mai ( EPLO ) - Kui aasta tagasi jäi Porkuni järvest järele vaid veetühi kauss , siis sel kevadel ___kipub___ järv üle kallaste ___ajama___ , kirjutab Virumaa Teataja .",3376379
7110,saama,,"inf,mod",0,csubj,tundma,"ps,aux,ill,sup",xcomp,""" 50 last vahetuses on paras hulk , kus kõik kõiki jõuavad ___tundma___ ___saada___ , "" sõnas Bork .",3378190
7123,valmistuma,,"af,pl,ps,ps3,impf,main,indic",0,acl:relcl,andma,"ps,aux,ill,sup",xcomp,"Al-Sadr ise on varjunud mošeesse pühas Najafi linnas , millele USA väed ___valmistusid___ juba aprillis purustavat lööki ___andma___ , kuid Poola protesteeris selle vastu .",3378662
7128,tahtma,,"af,ps,sg,ps3,main,pres,indic",0,advcl,paagetama,"ps,ill,sup,main",xcomp,"Ain Kaalep on vast natuke liiga puritaanlik , kui ta "" ristakureisile ___paagetama___ "" ___tahab___ minna .",3378727
7130,saama,,"af,ps,sg,aux,ps3,pres,indic",0,root,juhtima,"ps,aux,ill,sup",conj,Keelekorraldus muidugi ___saab___ ja peab sõnadevoolu ___juhtima___ .,3378737
7131,sobima,,"ps,mod,neg,cond,pres",0,conj,asendama,"ps,ill,sup,main",xcomp,"Eesti Keele Instituudi keelenõuandest küsitakse sageli , kuidas üht või teist uut mõistet eesti keeles nimetada või mis omasõna ___sobiks___ ___asendama___ mõnd võõrkeelset sõna .",3378741
7135,harjuma,,"aux,imps,past,partic",0,acl:relcl,tohterdama,"ps,ill,sup,main",xcomp,"Egas siis ainult jook - tegemise käigus jääb õli , millega ___harjutud___ ___tohterdama___ saunas nii valutavaid liigeseid kui ka külmetunud lapsi .",3378853
7148,pääsema,,"af,ps,sg,mod,ps3,pres,indic",0,root,veetma,"ps,ill,mod,sup",xcomp,Tänavu suvel ___pääseb___ noortelaagritesse tervistavat ja arendavat puhkust ___veetma___ üle 33 000 lapse .,3379079
7166,saama,,"af,ps,sg,ps3,main,pres,indic",0,advcl,jooksma,"ps,ill,mod,sup",xcomp,"OOTASIME VäGA SEDA õHTUT , MILLAL MARTI ___JOOKSMA___ ___SAAB___ MINNA .",3382301
7171,õppima,,"ps,mod,neg,impf,indic",1,ccomp,lugema,"ps,aux,ill,sup",xcomp,""" See , kui helistatakse ja kirjutatakse , tänatakse ning öeldakse , et tänu Mikile on lapsed ___lugema___ ___õppinud___ , mõjub tõesti tujutõstvalt .",3382421
7178,arvama,,"ps,mod,neg,pres,indic",1,root,pakkuma,"ps,aux,ill,sup",ccomp,"Taavi : Ma ei ___arva___ , et see , mis mina laval teen , peaks automaatselt kellelegi huvi ___pakkuma___ või hardust tekitama .",3382741
7193,soostuma,,"af,ps,sg,aux,ps3,impf,indic",0,root,rääkima,"ps,ill,sup,main",xcomp,"Kümmekonnast üürnikust , kellega ajaleht ühendust võttis , ___soostus___ hindadest ___rääkima___ kuus .",3396193
7199,saama,,"af,ps,sg,aux,ps3,pres,indic",0,acl,hakkama,"ps,ill,mod,sup",xcomp,"Tõsiasi , et Küprose mereäärses turismipiirkonnas ___saab___ üsna sageli vene keelega ___hakkama___ , on ammugi teada .",3396360
7210,kalduma,,"af,ps,sg,mod,ps3,impf,indic",0,root,arvama,"ps,ill,sup,main",xcomp,"Ta ___kaldus___ pigem ___arvama___ , et volikogu määrust ei tühista .",3396476
7220,saama,,"af,pl,ps,mod,ps1,impf,indic",0,ccomp,hakkama,"ps,ill,sup,main",xcomp,"Olen väga rahul , et ___saime___ liiga loomisega ___hakkama___ , see on hea koostöönäide ka teiste eluvaldkondade esindajatele , "" ütles oma tervituskõnes Eesti Korvpalliliidu president Peep Aaviksoo .",3396612
